index,critical_temp
0,26.0
1,24.366666666666664
2,91.0
3,88.0
4,93.1
5,93.0
6,92.0
7,91.0
8,94.0
9,26.5
10,36.50586206896552
11,18.05
12,22.95
13,69.33333333333333
14,86.85311764705878
15,86.85311764705878
16,86.85311764705878
17,86.85311764705878
18,1.5
19,84.3
20,91.5
21,97.4
22,16.5
23,45.0
24,80.37857142857142
25,92.5
26,36.50586206896552
27,71.60000000000001
28,92.2
29,92.5
30,11.9
31,110.0
32,120.32857142857142
33,82.65279999999998
34,71.0
35,74.03333333333333
36,48.0
37,86.0
38,71.60000000000001
39,30.69
40,84.0
41,84.0
42,18.0
43,110.0
44,86.85311764705878
45,110.0
46,75.0
47,86.5
48,89.3
49,36.0
50,79.3
51,52.6
52,87.99
53,70.0
54,69.33333333333333
55,63.0
56,75.92
57,75.92
58,85.0
59,81.0
60,91.44999999999999
61,82.65279999999998
62,89.96472222222222
63,86.0
64,91.55
65,38.0
66,85.2
67,49.3
68,47.0
69,82.65279999999998
70,80.1
71,29.4
72,76.01379310344826
73,83.5
74,36.50586206896552
75,88.2
76,21.0
77,32.7
78,92.775
79,88.7
80,80.0
81,88.4
82,85.0
83,32.0
84,54.7
85,21.419999999999998
86,80.37857142857142
87,73.9
88,51.4
89,51.4
90,78.40357142857144
91,92.11
92,73.0
93,91.61500000000001
94,71.0
95,55.95
96,52.0
97,26.936666666666667
98,93.6
99,73.5
100,55.55
101,55.0
102,71.6
103,38.0
104,42.0
105,116.0
106,18.0
107,38.0
108,80.5
109,64.0
110,47.0
111,47.0
112,11.0
113,29.0
114,65.5
115,71.66666666666667
116,65.5
117,64.05
118,85.0
119,40.7
120,79.8
121,83.6
122,85.6125
123,88.4
124,47.0
125,86.85311764705878
126,91.11250000000001
127,39.22
128,120.32857142857142
129,36.949999999999996
130,77.9426
131,76.01379310344826
132,90.0
133,108.34
134,107.5
135,87.47999999999999
136,90.0
137,10.25
138,87.99
139,70.0
140,69.2
141,52.15
142,32.2
143,15.0
144,91.44999999999999
145,71.60000000000001
146,65.828
147,79.5525
148,90.0
149,83.0
150,109.0
151,101.5
152,100.5
153,90.0
154,85.946
155,86.85311764705878
156,58.745000000000005
157,70.0
158,82.0
159,43.737500000000004
160,20.0
161,76.01379310344826
162,85.3
163,10.74
164,14.96
165,38.8
166,38.8
167,88.5
168,80.3
169,77.9426
170,37.9
171,29.8
172,37.0
173,21.55625
174,17.6375
175,28.8
176,38.1
177,11.9
178,71.685
179,26.46666666666667
180,45.0
181,25.9
182,22.0
183,22.0
184,90.0
185,92.0
186,56.95
187,45.0
188,79.4
189,73.15
190,87.8
191,32.24
192,91.59117647058825
193,86.85311764705878
194,72.0
195,107.0
196,118.85714285714286
197,114.0
198,48.839999999999996
199,49.0
200,56.0
201,88.9
202,77.0
203,77.0
204,1.5
205,80.0
206,71.5
207,77.9426
208,85.6125
209,91.61500000000001
210,78.3
211,82.0
212,82.0
213,89.96472222222222
214,72.9
215,86.0
216,79.3
217,76.0
218,77.9426
219,9.7
220,71.685
221,26.46666666666667
222,36.50586206896552
223,62.0
224,69.0
225,98.4
226,86.85311764705878
227,62.0
228,91.3
229,77.0
230,28.537499999999998
231,67.0
232,25.0
233,82.85
234,77.2
235,65.0
236,73.0
237,73.0
238,79.0
239,74.89999999999999
240,45.72857142857142
241,91.9
242,83.0
243,76.4
244,77.6
245,78.0
246,30.0
247,45.0
248,81.3
249,21.0
250,69.0
251,86.0
252,87.08333333333333
253,78.40357142857144
254,52.00344827586206
255,114.0
256,114.0
257,66.3
258,74.4
259,21.16842105263158
260,116.0
261,106.0
262,89.0
263,92.1
264,37.8
265,38.0
266,92.11
267,80.975
268,62.0
269,82.65279999999998
270,91.11250000000001
271,91.85714285714286
272,118.85714285714286
273,93.1
274,54.1
